 rho,v,p
   1.0000000000000000      ,   8.1051449583373852E-017 ,  0.99999999999999978     
   1.0000000000000000      ,   8.1051444370161316E-017 ,  0.99999999999999978     
   1.0000000000000000      ,   8.1051444370161316E-017 ,  0.99999999999999978     
   1.0000000000000000      ,   8.1051429149022653E-017 ,  0.99999999999999978     
   1.0000000000000000      ,   8.1051429149022653E-017 ,  0.99999999999999978     
   1.0000000000000000      ,   8.1051405072819404E-017 ,  0.99999999999999978     
   1.0000000000000000      ,   8.1051405072819404E-017 ,  0.99999999999999978     
   1.0000000000000000      ,   8.1051373761231190E-017 ,  0.99999999999999978     
   1.0000000000000000      ,   8.1051373761231190E-017 ,  0.99999999999999978     
   1.0000000000000000      ,   8.1051336967957322E-017 ,  0.99999999999999978     
   1.0000000000000000      ,   8.1051336967957322E-017 ,  0.99999999999999978     
   1.0000000000000000      ,   8.1051296291445834E-017 ,  0.99999999999999978     
   1.0000000000000000      ,   8.1051296291445834E-017 ,  0.99999999999999978     
   1.0000000000000000      ,   8.1051252999528593E-017 ,  0.99999999999999978     
   1.0000000000000000      ,   8.1051252999528593E-017 ,  0.99999999999999978     
   1.0000000000000000      ,   8.1051207980492254E-017 ,  0.99999999999999978     
   1.0000000000000000      ,   8.1051207980492254E-017 ,  0.99999999999999978     
   1.0000000000000000      ,   8.1051161787605668E-017 ,  0.99999999999999978     
   1.0000000000000000      ,   8.1051161787605668E-017 ,  0.99999999999999978     
   1.0000000000000000      ,   8.1051114727236479E-017 ,  0.99999999999999978     
   1.0000000000000000      ,   8.1051114727236479E-017 ,  0.99999999999999978     
   1.0000000000000000      ,   8.1051066948977907E-017 ,  0.99999999999999978     
   1.0000000000000000      ,   8.1051066948977907E-017 ,  0.99999999999999978     
   1.0000000000000000      ,   8.1051018515537370E-017 ,  0.99999999999999978     
   1.0000000000000000      ,   8.1051018515537370E-017 ,  0.99999999999999978     
   1.0000000000000000      ,   8.1050969447500659E-017 ,  0.99999999999999978     
   1.0000000000000000      ,   8.1050969447500659E-017 ,  0.99999999999999978     
   1.0000000000000000      ,   8.1050919747707874E-017 ,  0.99999999999999978     
   1.0000000000000000      ,   8.1050919747707874E-017 ,  0.99999999999999978     
   1.0000000000000000      ,   8.1050869412538473E-017 ,  0.99999999999999978     
   1.0000000000000000      ,   8.1050869412538473E-017 ,  0.99999999999999978     
   1.0000000000000000      ,   8.1050818436188143E-017 ,  0.99999999999999978     
   1.0000000000000000      ,   8.1050818436188143E-017 ,  0.99999999999999978     
   1.0000000000000000      ,   8.1050766811833729E-017 ,  0.99999999999999978     
   1.0000000000000000      ,   8.1050766811833729E-017 ,  0.99999999999999978     
   1.0000000000000000      ,   8.1050714531773496E-017 ,  0.99999999999999978     
   1.0000000000000000      ,   8.1050714531773496E-017 ,  0.99999999999999978     
   1.0000000000000000      ,   8.1050661587467100E-017 ,  0.99999999999999978     
   1.0000000000000000      ,   8.1050661587467100E-017 ,  0.99999999999999978     
   1.0000000000000000      ,   8.1050607969745217E-017 ,  0.99999999999999978     
   1.0000000000000000      ,   8.1050607969745217E-017 ,  0.99999999999999978     
   1.0000000000000000      ,   8.1050553669141318E-017 ,  0.99999999999999978     
   1.0000000000000000      ,   8.1050553669141318E-017 ,  0.99999999999999978     
   1.0000000000000000      ,   8.1050498676203260E-017 ,  0.99999999999999978     
   1.0000000000000000      ,   8.1050498676203260E-017 ,  0.99999999999999978     
   1.0000000000000000      ,   8.1050442981678592E-017 ,  0.99999999999999978     
   1.0000000000000000      ,   8.1050442981678592E-017 ,  0.99999999999999978     
   1.0000000000000000      ,   8.1050386576552532E-017 ,  0.99999999999999978     
   1.0000000000000000      ,   8.1050386576552532E-017 ,  0.99999999999999978     
   1.0000000000000000      ,   8.1050329451982380E-017 ,  0.99999999999999978     
   1.0000000000000000      ,   8.1050329451982380E-017 ,  0.99999999999999978     
   1.0000000000000000      ,   8.1050271599192799E-017 ,  0.99999999999999978     
   1.0000000000000000      ,   8.1050271599192799E-017 ,  0.99999999999999978     
   1.0000000000000000      ,   8.1050213009375959E-017 ,  0.99999999999999978     
   1.0000000000000000      ,   8.1050213009375959E-017 ,  0.99999999999999978     
   1.0000000000000000      ,   8.1050153673611421E-017 ,  0.99999999999999978     
   1.0000000000000000      ,   8.1050153673611421E-017 ,  0.99999999999999978     
   1.0000000000000000      ,   8.1050093582802177E-017 ,  0.99999999999999978     
   1.0000000000000000      ,   8.1050093582802177E-017 ,  0.99999999999999978     
   1.0000000000000000      ,   8.1050032727623423E-017 ,  0.99999999999999978     
   1.0000000000000000      ,   8.1050032727623423E-017 ,  0.99999999999999978     
   1.0000000000000000      ,   8.1049971098491003E-017 ,  0.99999999999999978     
   1.0000000000000000      ,   8.1049971098491003E-017 ,  0.99999999999999978     
   1.0000000000000000      ,   8.1049908685561660E-017 ,  0.99999999999999978     
   1.0000000000000000      ,   8.1049908685561660E-017 ,  0.99999999999999978     
   1.0000000000000000      ,   8.1049845478771722E-017 ,  0.99999999999999978     
   1.0000000000000000      ,   8.1049845478771722E-017 ,  0.99999999999999978     
   1.0000000000000000      ,   8.1049781467906822E-017 ,  0.99999999999999978     
   1.0000000000000000      ,   8.1049781467906822E-017 ,  0.99999999999999978     
   1.0000000000000000      ,   8.1049716642680446E-017 ,  0.99999999999999978     
   1.0000000000000000      ,   8.1049716642680446E-017 ,  0.99999999999999978     
   1.0000000000000000      ,   8.1049650992794213E-017 ,  0.99999999999999978     
   1.0000000000000000      ,   8.1049650992794213E-017 ,  0.99999999999999978     
